StateName,Longitude,Latitude
Andaman and Nicobar,92.8895789560724,11.9423733156469
Andhra Pradesh,79.9162029824413,16.5541242039864
Arunachal Pradesh,94.5453268105614,27.7257654151862
Assam,92.657310355725,26.3213408919157
Bihar,85.6367740131486,25.771393543754
Chandigarh,76.75872466,30.7426
Chhattisgarh,82.1250933359443,21.555738582984
Dadra and Nagar Haveli,73.09454961,20.21513217
Daman and Diu,72.4112119064865,20.4945697895603
Delhi,77.12804518,28.6459443
Goa,73.8660162584672,15.3935040429934
Gujarat,72.195747388839,22.3744058495805
Haryana,76.5212374296185,29.1956162763839
Himachal Pradesh,76.8556181354075,31.6494688754927
Jammu and Kashmir,75.0006306164317,33.6516990002294
Jharkhand,85.859962464417,23.7675055467457
Karnataka,76.2996246794501,14.3698170894678
Kerala,76.2177062100637,10.3267063560991
Lakshadweep,72.82992744,10.43639053
Madhya Pradesh,78.0824921329296,23.6356052026128
Maharashtra,75.270554473907,19.3925156129253
Manipur,93.8644934953284,24.7389748936655
Meghalaya,91.2375106953515,25.4803673647655
Mizoram,92.8166190062036,23.458356591057
Nagaland,94.32575260289,26.0618570761975
Orissa,84.9839658364271,20.5295973587413
Puducherry,79.7599736336565,11.9443129319755
Punjab,75.452952256905,30.9120614918165
Rajasthan,75.2253947542207,26.493281966067
Sikkim,88.5123052198473,27.3376797963507
Tamil Nadu,78.7627465226582,11.1597113289349
Tripura,91.6587131394333,23.7093048498125
Uttar Pradesh,80.6591924436183,27.0691634319156
Uttaranchal,78.8456321914626,29.9102559408558
West Bengal,88.1495960925151,23.4213431788953
